SurveyID,Year,Date,Round,Time1,Obs1,Obs2,RouteName,SunTime,SiteName,PointOrder,PointID,Treatment,WindSpeed,WindDir,Temp,SkyCode,NoiseLevel,NoiseCode,NoiseNotes,StartTime,SpeciesTargetWetland,SpeciesinArea,Notes,ImageID,DataCheckDate,DataEntryNotes
106,2015,6/11/2015,2,AM,NH,SS,Beaches Lake,5:20,Beaches Lake,4,BLC4,Control,1.5,S,60.2,1,34,0,NA,7:12,"MAWR, COYE, RWBL, YEWA",SACR,none,No ID,11/22/2015,NONE
107,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,1,PBS8,Spray,1.6,SE,57.2,1,38,1,NA,5:23,"RWBL, YHBL, MAWR, CAGO, SACR",none,none,No ID,10/20/2015,NONE
108,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,2,PBS7,Spray,1.4,SE,60.4,0,36,0,NA,5:45,"RWBL, BWTE, MODO, MAWR, COYE","SACR, AMCR",none,No ID,10/20/2015,NONE
110,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,4,PBS6,Spray,4.5,SE,59.6,0,35,0,NA,6:27,"TRES, MAWR, YEWA, MALL, CAGO, SACR, RWBL, COYE",BOBO,none,No ID,10/20/2015,NONE
111,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,5,PBS5,Spray,4,S,60.5,1,37,0,NA,6:51,"RWBL, COYE, YEWA","BOBO, VEER, MODO, SACR",none,No ID,10/20/2015,NONE
112,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,6,PBC4,Control,3.8,SW,62.4,0,33,0,NA,7:22,"RWBL, YEWA, MAWR, COYE, KILL",SACR,none,No ID,10/20/2015,NONE
113,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,7,PBC3,Control,2.8,SE,64.7,1,36,0,NA,7:45,"MAWR, RNDU, RUDU, COYE, RWBL, HOME",SACR,none,No ID,10/20/2015,NONE
114,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,8,PBC2,Control,0.6,S,72.6,0,34,0,NA,8:09,"MAWR, RWBL, COYE, YEWA","MODO, SACR","Likely serveral more SORA and VIRA than recorded. Heard ""ticket"" on way out.",No ID,10/20/2015,NONE
115,2015,6/12/2015,2,AM,NH,0,Pembina,5:26,Pembina,9,PBC1,Control,2.7,SW,69.3,0,38,0,NA,8:32,"SACR, RWBL, MAWR, COYE, Flycatcher",MODO,none,No ID,10/20/2015,NONE
116,2015,6/13/2015,2,AM,NH,SS,Manston,5:19,Manston,1,MNS2,Spray,2.6,S,55.6,0,38,0,NA,5:54,"MAWR, COYE, CAGO, KILL, RWBL, YHBL, WODU, YEWA","RNEP, SACR, MODO, BOBO, EAKI, Flycatcher","Area to south of point burned after R1. Typha regeneration, and low spots/depressions still with residual veg",No ID,10/22/2015,NONE
117,2015,6/13/2015,2,AM,NH,SS,Manston,5:19,Manston,2,MNS4,Spray,2.2,SE,62.3,0,38,1,mosquitos :(,6:40,"MAWR, YEWA, large owl, COYE","RNEP, MODO",none,No ID,10/22/2015,NONE
118,2015,6/13/2015,2,AM,NH,SS,Manston,5:19,Manston,3,MNC5,Control,4.9,SE,67.6,0,35,0,NA,7:16,"RWBL, TRES, NOHA, MAWR, YEWA","CCSP, CHSP, SACR, RNEP, BOBO",none,No ID,10/22/2015,NONE
119,2015,6/13/2015,2,AM,NH,SS,Manston,5:19,Manston,4,MNC6,Control,6.4,SE,68.9,2,38,1,occasional car,7:43,"RWBL, NSHO, MAWR, KILL, WODU","MODO, BOBO","Broadcast to the south. nice mix of plants here at little pond - surrounded by Typha. saw WIPH and SPSA on way out of site, east on 11 in roadside ditch",No ID,10/22/2015,NONE
750,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,1,EPC1,Control,0,0,39.6,2,NA,0,NA,526,"RUGR (drumming), CAGO, COLO, RWBL, SACR, SWSP, SEWR",NONE,on drive into site I noticed DNR cleared parking area. Also who cleared brush along ditch? DNR contractors harvesting aspen (NH per conversation with RuthAnne Franke). Large areas of aspen cleared further to east,NONE,NONE,NONE
751,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,2,EPC2,Control,0,W,40.2,2,NA,0,NA,615,"CAGO, RWBL, CCSP, RNDU, YEWA, waterfowl sp.","SACR, CAGO, NOFL, MODO, BLJA, AMRO, GWTE, NSHO",NA,NONE,NONE,NONE
752,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,3,EPC3,Control,2.5,W,43.5,2,NA,0,NA,643,"CAGO, RNDU, RWBL, COLO, SWSP, AWPE, YEWA, sp clean white streak breast yellow face?","SACR, TRSW",NA,NONE,NONE,NONE
753,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,4,EPS4,Spray,2.8,W,41,2,NA,0,NA,700,"COLO, BWTE, RWBL, CAGO, RNDU, SWSP","NSHO, NOHA, RUGR (drum far away to N)",NA,NONE,NONE,NONE
754,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,5,EPS5,Spray,NA,0,NA,2,NA,0,NA,723,"TRSW, SWSP, BWTE, CAGO, RWBL","SACR, BLJA",NA,NONE,NONE,NONE
755,2016,5/15/2016,1,AM,NH,PR,East Park,544,East Park,6,EPC6,Control,3,W,43.5,2,NA,0,NA,737,"CAGO, RWBL, AMRO, SWSP","MODO, RUGR",NA,NONE,NONE,NONE
756,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,1,RES1,Spray,1.2,W,36.7,0,NA,0,NA,521,"CAGO, RWBL, MALL, BWTE, COYE, MAWR, NSHO",SACR,NA,NONE,NONE,NONE
757,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,2,RES2,Spray,1.6,W,34.7,0,NA,1,NA,541,"RWBL, MAWR","CAGO, RUDU, BWTE, SPSA, NSHO, RNDU, HOME, YHBL, AMCO 2, RNGR, RUGR (drum), CAGO, SACR",mashed down from snow more than control areas. Weird poodpecker noise from marsh? What is that?,NONE,NONE,NONE
758,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,3,RES3,Spray,1,W,10.2,0,NA,2,NA,607,"BWTE, RWBL, MAWR, CAGO, COGR","CAGO, SACR, RUGR (drum)",NA,NONE,NONE,NONE
759,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,4,RES4,Spray,1.5,W,37,0,NA,1,YHBL and CAGO distracting difficult to tell how many AMBI and distance/direction,628,"RWBL, RNDU, CAGO, MAWR",SACR,NA,NONE,NONE,NONE
760,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,5,REC5,Control,2,W,38.9,0,NA,0,difficult to tell AMBI,645,"SACR, BWTE, MAWR, SOSP, CAGO, RWBL, COYE",NONE,NA,NONE,NONE,NONE
761,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,6,REC6,Control,1,W,47,0,NA,1,"again, prob underestimated # AMBI, difficult to tell how many, direction, distance",706,"SACR, RWBL, MAWR",SOSP,NA,NONE,NONE,NONE
762,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,7,REC7,Control,2,W,44,0,NA,1,prob more AMBI,731,"MAWR, CAGO, SWSP, YEWA, SEWR",SACR,NA,NONE,NONE,NONE
763,2016,5/16/2016,1,AM,NH,0,Roseau River East,545,Roseau River East,8,REC8,Control,1.7,W,46.7,0,NA,0,NA,747,"CAGO, SWSP, RWBL, MAWR","SACR, NOHA",NA,NONE,NONE,NONE
764,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,1,TLS1,Spray,0,0,73.4,0,35,0,NA,1815,"RWBL, SWSP, CCSP, TRES","RWBL, SWSP, YEWA, COYE, COGR, CCSP, TRES, YBSA, GRCA",NA,NONE,NH 2/17/17,NONE
765,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,2,TLS2,Spray,1.9,E,67.6,0,34,1,point along highway,1838,"RWBL, MAWR, AMRO, YEWA","TRUS, COLO, KILL, SOSP, RIDU, TRES",NA,NONE,NH 2/17/17,NONE
766,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,3,TLC3,Control,1.5,E,66.9,0,33,1,moved ~15m east,1904,"HOWR, LEFL, TRES, YEWA, RWBL",NONE,"Point in the middle of transitional forested zone, probably affected hearing. ",NONE,NH 2/17/17,NONE
767,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,4,TLS4,Spray,0,0,73.2,0,38,1,NA,1930,"BAEA, RWBL, PAWA, SOSP, BBMA, BAOR, BLJA","TRES, CAGO, TRUS, RUGR, MODO",Bald eagle nest and babies!,NONE,NH 2/17/17,NONE
768,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,5,TLC5,Control,1.8,E,65.3,0,42,1,NA,2002,"YEWA, RWBL, CAGO, MAWR, COYE",SACR,NA,NONE,NH 2/17/17,NONE
769,2016,5/17/2016,1,PM,PR,0,Twin Lakes,2101,Twin Lakes,6,TLC7,Control,0,0,63.6,0,34,0,NA,2105,"YEWA, CAGO, RWBL, SWSP, SEWR",NONE,probably more bittern than 1 I could differentiate,NONE,NH 2/17/17,NONE
770,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,1,EVS1,Spray,0,0,38.3,0,NA,1,"SACR, CAGO",528,"TRUS, BWTE, MAWR, CAGO, MALL, RWBL, SACR, beaver",woodpecker sp.,NA,NONE,NH 2/18/17,NONE
771,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,2,EVS2,Spray,0,0,36.3,0,NA,2,"SACR in min 7,8",547,"BWTE, MALL, COYE, SWSP, RWBL, BEKI","TRUS, CAGO, MODO, RUGR, SACR, woodpecker",NA,NONE,NH 2/18/17,NONE
772,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,3,EVS3,Spray,0,0,42.3,0,NA,1,CAGO,608,"YEWA, MAWR, RWBL, COGR","CAGO, SACR, BWTE, 2 BCNH flushed on my way to EVS4",NA,NONE,NH 2/18/17,NONE
773,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,4,EVS4,Spray,0,0,50,0,NA,1,CAGO in distance,630,"BWTE, SOSP, RWBL","SACR, CAGO",NA,NONE,NH 2/18/17,NONE
774,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,5,EVC5,Control,0,0,51,0,NA,1,NA,650,"CAGO, RWBL, COGR, MAWR, BOBO","SACR, RUGR (audio), MODO, TRUS",NA,NONE,NH 2/18/17,NONE
775,2016,5/17/2016,1,AM,NH,0,Eckvoll,NA,Eckvoll,6,EVC6,Control,0,0,55.1,0,NA,0,NA,708,"COYE, BWTE, MALL, SWSP, RWBL, RNDU, YEWA","BUFF, RUGR (audio), RNDU, BWTE, TRUS, woodpecker sp., beaver",NA,NONE,NH 2/18/17,NONE
776,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,1,THS1,Spray,3.5,E,37.9,0,32,0,NA,515,"CAGO, NSHO, BWTE, MALL","SOSP, SWSP, RWBL, MAWR, SACR",NA,NONE,NH 2/17/17,NONE
777,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,2,THC2,Control,4.5,E,39.3,0,31,0,NA,600,"SWSP, RWBL, SEWR, BWTE, SASP","CAGO, RNDU, SACR, FRGU",NA,NONE,NH 2/17/17,NONE
778,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,3,THC3,Control,3,W,39.8,0,33,0,NA,627,"YEWA, RWBL, CCSP, SEWR","SWSP, CAGO, MALL, gull sp.",NA,NONE,NH 2/17/17,NONE
779,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,4,THS4,Spray,1.5,W,46.7,0,35,0,NA,739,"FRGU, GRYE, SOSA, CAGO, BWTE, RWBL, NSHO, AMWI, WIPH","RUGR, AMRO",NA,NONE,NH 2/17/17,NONE
780,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,5,THC6,Control,6.3,W,45,0,34,0,NA,804,"BWTE, RWBL, REDH, CAGO, YEWA, SWSP, YRWA, MAWR",NONE,NA,NONE,NH 2/17/17,NONE
781,2016,5/15/2016,1,AM,PR,0,Thief Lake,544,Thief Lake,6,THS8,Spray,8.3,W,46,0,37,0,NA,831,"RNDU, CAGO, YEWA, MAWR, TRSW, CCSP",NONE,NA,NONE,NH 2/17/17,NONE
782,2016,5/16/2016,1,AM,PR,0,Roseau River West,545,Roseau River West,1,RWC9,Control,2.8,W,33,0,34,0,NA,537,"MAWR, RWBL, CAGO, BWTE",MALL,NA,NONE,NH 2/18/17,NONE
783,2016,5/16/2016,1,AM,PR,0,Roseau River West,545,Roseau River West,2,RWC10,Control,3.2,W,31.7,0,33,0,NA,605,"TRES, RWBL, CAGO, SWSP, SACR, HOME, RNDU",NONE,NA,NONE,NH 2/18/17,NONE
784,2016,5/16/2016,1,AM,PR,0,Roseau River West,545,Roseau River West,3,RWS11,Spray,3.87,W,36.7,0,34,0,NA,629,"TRES, TRUS, RWBL, BWTE, CCSP, MAWR, CAGO, CCSP, SWSP, SEWR, BUFF",SACR,NA,NONE,NH 2/18/17,NONE
785,2016,5/16/2016,1,AM,PR,0,Roseau River West,545,Roseau River West,4,RWS12,Spray,4,W,37,0,32,0,NA,653,"TRES, MAWR, CAGO, SWSP, RWBL","SWSP, BHCO, HAWO, SACR",NA,NONE,NH 2/18/17,NONE
786,2016,5/16/2016,1,PM,NH,PR,Beaches Lake,2103,Beaches Lake,1,BLS1,Spray,3.3,W,61.7,0,NA,1,water spillage from beaver dam,1911,"RWBL, YEWA, COGR, MODO, SOSP","RUGR (drumming), MODO (flushed juv bird on way in to site), TRES",NA,NONE,NH 2/20/17,NONE
787,2016,5/16/2016,1,PM,NH,PR,Beaches Lake,2103,Beaches Lake,2,BLS2,Spray,0.7,W,65.6,0,35,0,very quiet,2005,"RWBL, COGR, MAWR, BOBO",RUGR (drumming),NA,NONE,NH 2/20/17,NONE
788,2016,5/16/2016,1,PM,NH,PR,Beaches Lake,2103,Beaches Lake,3,BLC3,Control,NA,0,NA,0,NA,0,NA,2058,"RWBL, SWSP, MODO, YEWA","KILL, RUGR","so many birds, not enough time to write direction/bearing. Recorded location by circle w tick mark",NONE,NH 2/20/17,NONE
789,2016,5/16/2016,1,PM,NH,PR,Beaches Lake,2103,Beaches Lake,4,BLC4,Control,NA,0,NA,0,NA,0,NA,2131,"SWSP, RWBL, SEWR, BWTE, SASP","CAGO, SACR, CCSP, MODO, RUGR (drumming)","so many birds, not enough time to write direction/bearing. Recorded location by circle w tick mark",NONE,NH 2/20/17,NONE
794,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,1,PBC1,Control,1,E,69.5,0,NA,0,so quiet!! Too hot?,1812,"RWBL, flycather sp., YEWA, SOSP, SWSP (came to check out recording, very close!), AMCR",NONE,"frogs, someone drove 4x4 through marsh: see pics",NONE,NONE,NONE
795,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,2,PBC2,Control,3,E,67.5,0,NA,1,occassional wind in face,1832,"RWBL, SWSP, CCSP, COYE, BOBO, TRES",NONE,"upland between point and road looks maybe burnt last fall little thatch, crusty surface, maybe just wetter?",NONE,NONE,NONE
796,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,3,PBC3,Control,0.5,S,72,0,NA,0,NA,1904,"CCSP, MAWR, BARS, RWBL, MALL",NONE,NA,NONE,NONE,NONE
797,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,4,PBC4,Control,0.5,E,70.1,0,NA,1,CAGO in distance. Plane at min 2-3,1927,"RWBL, CAGO, NSHO, SWSP, MAWR, RNDU, CCSP",COLO (between pts 4 and 5),"2 AMBI flushed and flew far away, landed back in marsh",NONE,NONE,NONE
798,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,5,PBS5,Spray,0,0,66.7,0,NA,0,super quiet and still,2003,"RWBL, BARS, SWSP, MALL, MAWR, TRES, beaver",NONE,sooo quiet! Spray site doesn't look any different than control,NONE,NONE,NONE
799,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,6,PBS6,Spray,0,0,66.2,0,NA,0,NA,2025,"RWBL, BWTE, MAWR, CAGO, PAWA, beaver",SACR,NA,NONE,NONE,NONE
800,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,7,PBS7,Spray,1.5,E,58.6,0,NA,1,RWBL and frogs,2048,RWBL,NONE,"south of road burned, see pictures",NONE,NONE,NONE
801,2016,5/17/2016,1,PM,NH,0,Pembina,2100,Pembina,8,PBS8,Spray,0,0,62.1,0,NA,0,still,2105,"MALL, KILL, BARS, RWBL, LEYE, MODO","SACR, CAGO","both sides of road burned, frogs distant",NONE,NONE,NONE
802,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,1,ELC1,Control,0.6,0,62.4,0,37,0,NA,520,"BWTE, NSHO, YEWA",NONE,NA,NONE,NH 2/17/17,NONE
803,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,2,ELC2,Control,0.7,0,39.6,0,35,0,NA,543,"WTSP, NSHO, BWTE, CAGO, GRYE, RWBL, YEWA","SACR, RUGR",NA,NONE,NH 2/17/17,NONE
804,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,3,ELS3,Spray,0.6,0,45.1,0,32,0,NA,622,"MAWR, RWBL, SWSP, COYE, TRUS, BWTE","CAGO, NSHO, CCSP",NA,NONE,NH 2/17/17,NONE
805,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,4,ELS4,Spray,1.1,0,42.6,0,39,0,NA,650,"TRUS, CAGO, MAWR, RWBL, SWSP, YEWA, COYE",NONE,NA,NONE,NH 2/17/17,NONE
806,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,5,ELS5,Spray,0,0,49,0,36,0,NA,711,"TRES, RWBL, SWSP",NONE,NA,NONE,NH 2/17/17,NONE
807,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,6,ELS6,Spray,0.7,E,63,0,38,0,NA,732,"RWBL, CAGO, SOSP, SWSP",SACR,NA,NONE,NH 2/17/17,NONE
808,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,7,ELC7,Control,0.8,E,67.8,0,33,0,NA,800,"YEWA, SWSP, AMRO, CCSP, SEWR, RWBL","CAGO, PAWA, WIWA",NA,NONE,NH 2/17/17,NONE
809,2016,5/17/2016,1,AM,PR,0,Elm Lake,NA,Elm Lake,8,ELC8,Control,2,E,66.8,0,42,0,NA,829,"BWTE, YEWA, RWBL, CAGO, BARS","MALL, GADW",NA,NONE,NH 2/17/17,NONE
810,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,1,EPC1,Control,0.5,W,72.1,0,NA,1,Frogs,1834,"RWBL, EAKI, BAOR, YEWA, COGR, MODO","VEER, MODO, RUGR, RBGR BAOR, BOFL, frogs",NA,NONE,NONE,NONE
811,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,2,EPC2,Control,0,0,73.8,0,NA,1,bugs on my face,1926,"COLO, RWBL, AMRO, YEWA, COYE, MAWR","MODO, LEFL, AWPE, RUGR, EWPE, VEER","ditches really high, spillway roaring. Lots of rain lately. Skunk near gate cute!",NONE,NONE,NONE
812,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,3,EPC3,Control,0,0,75.2,0,NA,1,frogs,1959,"RWBL, AWPE, COLO, COYE, TRES, YEWA, MAWR, SEWR, RBDU, SOSP",MODO,NA,NONE,NONE,NONE
813,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,4,EPS4,Spray,0,0,65.5,1,NA,2,frogs,2019,"RWBL, RNDU, CAGO, MAWR","RUGR, MALL, YEWA",NA,NONE,NONE,NONE
814,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,5,EPS5,Spray,1,E,63.5,1,NA,2,Frogs,2040,"COYE, BUFF, BARS, YEWA, MAWR",CAGO,NA,NONE,NONE,NONE
815,2016,6/2/2016,2,PM,NH,0,East Park,2119,East Park,6,EPC6,Control,0,0,63.5,2,NA,1,Frogs,2106,"VEER, RWBL, TRSW, MAWR, MODO, COGR, YEWA","RUGR, AMRO, CAGO",NA,NONE,NONE,NONE
816,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,1,TLS1,Spray,0,0,43.3,0,40,0,NA,507,RWBL,"CAGO, CCSP, SOSP, COYE, WIFL, YBSA, CEWA",NA,NONE,NH 2/17/17,NONE
817,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,2,TLS2,Spray,1.7,N,43.1,0,41,1,COWS,537,NONE,"YEWA, RWBL, COYE, SOSP, EAKI, AMRO",NA,NONE,NH 2/17/17,NONE
818,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,3,TLC3,Control,1.3,E,45.2,0,43,2,"CARS, UP TO 57M",607,"HOWR, YEWA, LEFL, MODO, COYE, CAGO, COLO, VEER, BAOR",NONE,NA,NONE,NH 2/17/17,NONE
819,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,4,TLS4,Spray,0,0,58.2,0,44,2,NA,632,NONE,"CCSP, WODU, VEER, AMRO, YEWA, TRES, BAOR, COLO, BAEA",NA,NONE,NH 2/17/17,NONE
820,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,5,TLC5,Control,1.8,N,48.3,0,41,0,NA,658,"BWTE, HOME, RWBL, CAGO, MODO, COGR, AMRO, AMGO, MAWR, WIFL, YEWA, COHA","COLO, CAGO, SACR",NA,NONE,NH 2/17/17,NONE
821,2016,5/26/2016,2,AM,PR,0,Twin Lakes,525,Twin Lakes,6,TLC7,Control,2.9,N,52.5,0,32,0,NA,756,"RWBL, YEWA, COYE, WIFL, COGR, TRES, MODO, GRCA, AMRE",CAGO,NA,NONE,NH 2/17/17,NONE
822,2016,6/4/2016,2,AM,NH,PR,Beaches Lake,522,Beaches Lake,1,BLS1,Spray,0,0,55.2,0,42,2,water from beaver dam,509,"GRCA, RWBL, MAWR, YEWA, BWTE, swallow (BARS?)",NONE,NA,NONE,NONE,NONE
823,2016,6/4/2016,2,AM,NH,PR,Beaches Lake,522,Beaches Lake,2,BLS2,Spray,0,0,57.4,1,42,2,MOSQUITOS,558,"RWBL, YEWA, MAWR, COYE, ","MODO, CAGO, VEER",YELLOW LADYSLIPPER AT 30M W. ENTRY PATH VERY WET,NONE,NONE,NONE
824,2016,6/4/2016,2,AM,NH,PR,Beaches Lake,522,Beaches Lake,3,BLC3,Control,4.6,W,58.5,0,40,2,WIND,707,"CAGO, COYE, RWBL, TRES, BAOR, COGR, MAWR, MODO, CEWA, MALL, LEFL",NONE,NA,NONE,NONE,NONE
825,2016,6/4/2016,2,AM,NH,PR,Beaches Lake,522,Beaches Lake,4,BLC4,Control,1.5,W,63,0,39,NA,NA,731,"LEFL, MODO, COYE, YEWA, TRES, BHCO, BBCU?","TRES IN DISTANCE, VEER",NA,NONE,NONE,NONE
826,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,1,RES1,Spray,7,W,69.1,1,NA,2,"FROGS, WIND",1839,"MAWR, SEWR, RWBL, COYE, BWTE",NONE,"spray point regrowth of typha along edges of open water, but overall dead! Compare with other side of pool 2",NONE,NONE,NONE
827,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,2,RES2,Spray,7.5,W,70.5,1,NA,3,WIND IN MY FACE,1859,"TRSW, MAWR, CAGO, SEWR",CAGO,"WINDY, PROBABLY MISSED BIRDS :(; SPRAY POINT. REGROWTH AT EDGE OF WATER, BUT OTHERWISE TYPHA MASHED DOWN AND DEAD",NONE,NONE,NONE
828,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,3,RES3,Spray,7.8,W,69.2,0,NA,3,wind,1921,"MAWR, TRSW, COGR, CAGO, RWBL, RNDU",AMRO,BOTH SPRAY - BAD POISITIONING NH,NONE,NONE,NONE
829,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,4,RES4,Spray,6.5,W,71.1,0,NA,2,1 angry CAGO. Wind,1941,"MAWR, RWBL, SEWR, EAKI, COGR, COYE","AMRO, MODO","spray point, dead as a doornail",NONE,NONE,NONE
830,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,5,REC5,Control,4.5,W,70,0,NA,2,WIND IN MY FACE,2001,"MAWR, RWBL, SEWR","AWPE 3, BWTE, CAGO",broadcasted to the west of levee control point. Some green regrowth but not much different than spray except last year's growth doesn't look all mashed down,NONE,NONE,NONE
831,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,6,REC6,Control,3.5,,71.1,0,NA,2,NA,2021,"MAWR, RWBL, SEWR, COYE, BWTE","CAGO, KILL",RAINY EARLIER TODAY IN AREA,NONE,NONE,NONE
832,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,7,REC7,Control,2,W,64.5,0,NA,2,NA,2048,"COYE, YEWA, YEWA, RWBL, COGR, MAWR, SEWR","MODO, AMGO",broadcast to east,NONE,NONE,NONE
833,2016,6/3/2016,2,PM,NH,0,Roseau River East,2121,Roseau River East,8,REC8,Control,1.2,W,60.2,0,NA,1,MOSQUITOS,2126,"RWBL, COYE, MAWR, SEWR, muskrat","VEER, YEWA, MAWR, MODO, AWPE 3",NA,NONE,NONE,NONE
834,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,1,PBC1,Control,0,0,50.9,0,NA,1,distant cars,500,"LEFL, MODO, EAPH, YEWA, RWBL, BAOR, COGR, CCSP, VEER",NONE,bear tracks!,NONE,NONE,NONE
835,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,2,PBC2,Control,0,0,51.8,0,NA,1,distant cars,535,"CCSP, VEER, RWBL, YEWA, MAWR, SEWR","MODO, AMCR",NA,NONE,NONE,NONE
836,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,3,PBC3,Control,1.7,N,45,0,NA,2,distant trucks,603,"VEER, MAWR, COYE, RWBL, MODO",NONE,NA,NONE,NONE,NONE
837,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,4,PBC4,Control,1.8,N,46.3,0,NA,1,distant trucks,634,"CCSP, YEWA, CAGO, RWBL, MAWR, SEWR","BOBO, COLO, MODO",what is calling frequency of AMBI? 1 or 2x per minute? Or =>1 AMBI?,NONE,NONE,NONE
838,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,5,PBS5,Spray,2.1,N,48,0,NA,2,distant trucks,709,"MAWR, RWBL, YEWA, CCSP, COYE","VEER, EAPH",yellow ladyslippers,NONE,NONE,NONE
839,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,6,PBS6,Spray,1.6,N,56.8,0,NA,1,distant cars,733,"RWBL, MAWR, SEWR, MODO, SWSP, COYE, BARS, TRES",MALL,NA,NONE,NONE,NONE
840,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,7,PBS7,Spray,2.7,N,58.2,0,NA,1,distant car. I paused when trucks passed by,752,"KILL, RWBL, COCGR, MAWR, AMGO","BARS, MALL",Broadcast to S. hardly any typha regrowth to S,NONE,NONE,NONE
841,2016,6/7/2016,2,AM,NH,0,Pembina,527,Pembina,8,PBS8,Spray,5.5,N,53.5,0,NA,1,NA,812,"BWTE, AMGO, KILL, WODU","RNDU, CAGO",Broadcast to N,NONE,NONE,NONE
